date,iso3,country,country_wgc,region_group,economic_group,source,fx_reserves_usd_mn,total_reserves_usd_mn,gold_reserves_tonnes,gold_reserves_usd_mn,gold_holdings_pct
2025-12-31,ALB,Albania,Albania,Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,DZA,Algeria,Algeria,Middle East & North Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,AUT,Austria,Austria,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,AZE,Azerbaijan,"Azerbaijan, Rep. of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BHR,Bahrain,"Bahrain, Kingdom of",Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BGD,Bangladesh,Bangladesh,South Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BEL,Belgium,Belgium,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BOL,Bolivia,Bolivia,Latin America & Caribbean,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,BDI,Burundi,Burundi,Sub-Saharan Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,CMR,Cameroon,Cameroon,Sub-Saharan Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TCD,Chad,Chad,Sub-Saharan Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,CHL,Chile,Chile,Latin America & Caribbean,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,COM,Comoros,"Comoros, Union of the",Sub-Saharan Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,COG,Congo,"Congo, Rep. of",Sub-Saharan Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,HRV,Croatia,"Croatia, Rep. of",Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,CYP,Cyprus,Cyprus,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,DOM,Dominican Republic,Dominican Rep.,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,ECU,Ecuador,Ecuador,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,ERI,Eritrea,"Eritrea, The State of",Sub-Saharan Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
